reset_seed,controller,failure,first_failure_step
51000085,shortcut,True,5
51000086,shortcut,True,3
51000087,shortcut,True,4
51000088,shortcut,False,-1
51000089,shortcut,True,3
51000090,shortcut,True,3
51000091,shortcut,True,4
51000092,shortcut,False,-1
51000093,shortcut,False,-1
51000094,shortcut,True,3
51000095,shortcut,True,5
51000096,shortcut,False,-1
51000097,shortcut,True,3
51000098,shortcut,True,3
51000099,shortcut,True,3
51000100,shortcut,True,4
51000101,shortcut,True,3
51000102,shortcut,False,-1
51000103,shortcut,False,-1
51000104,shortcut,False,-1
51000105,shortcut,True,4
51000106,shortcut,True,3
51000107,shortcut,True,5
51000108,shortcut,True,4
51000109,shortcut,True,3
51000110,shortcut,False,-1
51000111,shortcut,True,5
51000112,shortcut,True,3
51000113,shortcut,True,3
51000114,shortcut,True,3
51000115,shortcut,True,4
51000116,shortcut,True,4
51000117,shortcut,False,-1
51000118,shortcut,True,3
51000119,shortcut,True,4
51000120,shortcut,True,3
51000121,shortcut,True,3
51000122,shortcut,True,3
51000123,shortcut,True,3
51000124,shortcut,True,3
51000125,shortcut,True,5
51000126,shortcut,False,-1
51000127,shortcut,True,3
51000000,lower,False,-1
51000001,lower,False,-1
51000002,lower,False,-1
51000003,lower,False,-1
51000004,lower,False,-1
51000005,lower,False,-1
51000006,lower,False,-1
51000007,lower,False,-1
51000008,lower,False,-1
51000009,lower,False,-1
51000010,lower,False,-1
51000011,lower,False,-1
51000012,lower,False,-1
51000013,lower,False,-1
51000014,lower,False,-1
51000015,lower,False,-1
51000016,lower,False,-1
51000017,lower,False,-1
51000018,lower,False,-1
51000019,lower,False,-1
51000020,lower,False,-1
51000021,lower,False,-1
51000022,lower,False,-1
51000023,lower,False,-1
51000024,lower,False,-1
51000025,lower,False,-1
51000026,lower,False,-1
51000027,lower,False,-1
51000028,lower,False,-1
51000029,lower,False,-1
51000030,lower,False,-1
51000031,lower,False,-1
51000032,lower,False,-1
51000033,lower,False,-1
51000034,lower,False,-1
51000035,lower,False,-1
51000036,lower,False,-1
51000037,lower,False,-1
51000038,lower,False,-1
51000039,lower,False,-1
51000040,lower,False,-1
51000041,lower,False,-1
51000042,lower,False,-1
51000043,lower,False,-1
51000044,lower,False,-1
51000045,lower,False,-1
51000046,lower,False,-1
51000047,lower,False,-1
51000048,lower,False,-1
51000049,lower,False,-1
51000050,lower,False,-1
51000051,lower,False,-1
51000052,lower,False,-1
51000053,lower,False,-1
51000054,lower,False,-1
51000055,lower,False,-1
51000056,lower,False,-1
51000057,lower,False,-1
51000058,lower,False,-1
51000059,lower,False,-1
51000060,lower,False,-1
51000061,lower,False,-1
51000062,lower,False,-1
51000063,lower,False,-1
51000064,lower,False,-1
51000065,lower,False,-1
51000066,lower,False,-1
51000067,lower,False,-1
51000068,lower,False,-1
51000069,lower,False,-1
51000070,lower,False,-1
51000071,lower,False,-1
51000072,lower,False,-1
51000073,lower,False,-1
51000074,lower,False,-1
51000075,lower,False,-1
51000076,lower,False,-1
51000077,lower,False,-1
51000078,lower,False,-1
51000079,lower,False,-1
51000080,lower,False,-1
51000081,lower,False,-1
51000082,lower,False,-1
51000083,lower,False,-1
51000084,lower,False,-1
51000085,lower,False,-1
51000086,lower,False,-1
51000087,lower,False,-1
51000088,lower,False,-1
51000089,lower,False,-1
51000090,lower,False,-1
51000091,lower,False,-1
51000092,lower,False,-1
51000093,lower,False,-1
51000094,lower,False,-1
51000095,lower,False,-1
51000096,lower,False,-1
51000097,lower,False,-1
51000098,lower,False,-1
51000099,lower,False,-1
51000100,lower,False,-1
51000101,lower,False,-1
51000102,lower,False,-1
51000103,lower,False,-1
51000104,lower,False,-1
51000105,lower,False,-1
51000106,lower,False,-1
51000107,lower,False,-1
51000108,lower,False,-1
51000109,lower,False,-1
51000110,lower,False,-1
51000111,lower,False,-1
51000112,lower,False,-1
51000113,lower,False,-1
51000114,lower,False,-1
51000115,lower,False,-1
51000116,lower,False,-1
51000117,lower,False,-1
51000118,lower,False,-1
51000119,lower,False,-1
51000120,lower,False,-1
51000121,lower,False,-1
51000122,lower,False,-1
51000123,lower,False,-1
51000124,lower,False,-1
51000125,lower,False,-1
51000126,lower,False,-1
51000127,lower,False,-1
